id;kirundi0;prefix;stem;stem_perf;perf;plural;type;class2;class2p;kirundi0_a;prefix_a;stem_a;stem_perf_a;noPlural;pluralFull;sourceLanguage
3918;kuremurukwa;ku;remurukwa;remurutswe;tswe;;0;NULL;NULL;;;;;0;;NULL
3919;kuremurura;ku;remurura;remuruye;ye;;0;NULL;NULL;;;;;0;;NULL
3920;ikiremve;iki;remve;;;ibi;1;7;8;;;;;0;;NULL
3921;kuremwa;ku;remwa;remwe;mwe;;0;NULL;NULL;;;;;0;;NULL
3922;umuremyi;umu;remyi;;;aba;1;1;2;;;;;0;;NULL
3923;ikirende;iki;rende;;;ibi;1;7;8;;;;;0;;NULL
3924;kurenga;ku;renga;renze;nze;;0;NULL;NULL;;;;;0;;NULL
3925;irenga;i;renga;;;ama;1;5;6;;;;;0;;NULL
3926;kurengagiza;ku;rengagiza;rengagije;je;;0;NULL;NULL;;;;;0;;NULL
3927;kurengana;ku;rengana;renganye;nye;;0;NULL;NULL;;;;;0;;NULL
3928;kurenganya;ku;renganya;renganije;nije;;0;NULL;NULL;;;;;0;;NULL
3929;ikirengazuba;iki;rengazuba;;;;1;7;NULL;ikirengerazuba;iki;rengerazuba;;1;;NULL
3930;ikirenge;iki;renge;;;ibi;1;7;8;;;;;0;;NULL
3931;kurengera;ku;rengera;rengeye;ye;;0;NULL;NULL;;;;;0;;NULL
3932;kurengera;ku;rengera;rengeye;ye;;0;NULL;NULL;;;;;0;;NULL
3933;umurengera;umu;rengera;;;imi;1;3;4;;;;;0;;NULL
3934;kurengerana;ku;rengerana;rengeranye;nye;;0;NULL;NULL;;;;;0;;NULL
3936;kurengerwa;ku;rengerwa;rengewe;we;;0;NULL;NULL;;;;;0;;NULL
3937;kurenguka;ku;renguka;rengutse;tse;;0;NULL;NULL;;;;;0;;NULL
3938;kurengwa;ku;rengwa;renzwe;nzwe;;0;NULL;NULL;;;;;0;;NULL
3939;kurengwa;ku;rengwa;renzwe;nzwe;;0;NULL;NULL;;;;;0;;NULL
3940;kurenza;ku;renza;renje;nje;;0;NULL;NULL;;;;;0;;NULL
3941;akarenzo;aka;rēnzo;;;utu;1;12;13;;;;;0;;NULL
3942;kurera;ku;rera;reze;ze;;0;NULL;NULL;;;;;0;;NULL
3943;-re-re;-;re-re;;;;2;NULL;NULL;;;;;0;;NULL
3944;ikirere;iki;rere;;;ibi;1;7;8;;;;;0;;NULL
3945;kurereka;ku;rereka;reretse;tse;;0;NULL;NULL;;;;;0;;NULL
3946;kurerekesha;ku;rerekesha;rerekesheje;sheje;;0;NULL;NULL;;;;;0;;NULL
3947;kurerekwa;ku;rerekwa;reretswe;tswe;;0;NULL;NULL;;;;;0;;NULL
3948;kureremba;ku;reremba;reremvye;mvye;;0;NULL;NULL;;;;;0;;NULL
3949;kurerembuza;ku;rerembuza;rerembuje;je;;0;NULL;NULL;;;;;0;;NULL
3950;kureresha;ku;reresha;reresheje;sheje;;0;NULL;NULL;;;;;0;;NULL
3951;kurereta;ku;rereta;rerese;se;;0;NULL;NULL;;;;;0;;NULL
3952;rero;;rero;;;;7;NULL;NULL;lero;;;;0;;NULL
3953;kurerura;ku;rerura;reruye;ye;;0;NULL;NULL;;;;;0;;NULL
3954;kurerurwa;ku;rerurwa;reruwe;we;;0;NULL;NULL;;;;;0;;NULL
3955;kureruza;ku;reruza;reruje;je;;0;NULL;NULL;;;;;0;;NULL
3956;kurerwa;ku;rerwa;rezwe;zwe;;0;NULL;NULL;;;;;0;;NULL
3957;umurerwa;umu;rerwa;;;aba;1;1;2;;;;;0;;NULL
3958;kuresha;ku;resha;reheje;heje;;0;NULL;NULL;;;;;0;;NULL
3959;kuresha;ku;resha;reheje;heje;;0;NULL;NULL;;;;;0;;NULL
3960;umureshi;umu;reshi;;;aba;1;1;2;;;;;0;;NULL
3961;kureshwa;ku;reshwa;reshejwe;hejwe;;0;NULL;NULL;;;;;0;;NULL
3962;ubureve;ubu;reve;;;;1;14;NULL;;;;;0;;NULL
3963;umurezi;umu;rezi;;;aba;1;1;2;;;;;0;;NULL
3964;umurezi;umu;rezi;;;aba;1;1;2;;;;;0;;NULL
3965;uburezi;ubu;rezi;;;;1;14;NULL;;;;;1;;NULL
3966;-ri;-;ri;;;;0;NULL;NULL;;;;;0;;NULL
3967;ukuri;uku;ri;;;;1;15;NULL;;;;;0;;NULL
3968;kuriba;ku;riba;rivye;vye;;0;NULL;NULL;;;;;0;;NULL
3969;iriba;i;riba;;;ama;1;5;6;;;;;0;;NULL
3970;ururiba;uru;riba;;;in;1;11;10;;;;;0;indiba;NULL
3971;kuribwa;ku;ribwa;ribwe;bwe;;0;NULL;NULL;kuribga;;rībga;bge;0;;NULL
3972;kuriganirwa;ku;riganirwa;riganiwe;we;;0;NULL;NULL;;;;;0;;NULL
3973;kurigata;ku;rigata;rigase;se;;0;NULL;NULL;;;;;0;;NULL
3974;kurigatira;ku;rigatira;rigatiye;ye;;0;NULL;NULL;;;;;0;;NULL
3975;kurigatisha;ku;rigatisha;rigatishije;shije;;0;NULL;NULL;;;;;0;;NULL
3976;kurigatwa;ku;rigatwa;rigaswe;swe;;0;NULL;NULL;;;;;0;;NULL
3977;kuriha;ku;riha;rishe;she;;0;NULL;NULL;;;;;0;;NULL
3978;kurihana;ku;rihana;rihanye;nye;;0;NULL;NULL;;;;;0;;NULL
